,promptId,uniqueId,essay,evaluator_rating
0,1,1_323,"At present age, our education system is not good because so many things are done which is not required. Education systemis not work properly for so many regions in present time like corruption etc. but after that many educated people try to remove this type of sitution inour country and they try to give education to children or youngers age who is the future of our country. Teachers always want that their students done their work on time in class and whatever task or assignment they given to student they work on that task with honesty and politely and in case they not know or not able to work on that thing then ask them and the teacher suggested him very polietly. Our education system is work properly in privot schools, colleges, institution because in that place all person active for their work and they done resposibility very excelent way they do not think to others. Not opposite but it will not perform good in Government schools, colleges because in that place upper department not saw the work of lower department they free for them for their work it is the that education system not give challenge to private institutions. At present education system run as business no one can say for excellence they were only focus on the more and more percentage. We can try to the focus to the strength of the student not for percentage. When we focus on strength than student efficiently work on the particular area or field, which he like most and he give 100% on that area. Today world no one can give suggestion that what we do for near in correct manner. They school and college try give space to student and thinking upon hi. It is required for every student and person that they belive in learing.",3.0
1,1,1_238,"I am agree the tightly defined curriculum of our education system leaves no room for imagination and creativity.A hidden curriculum can be defined as the lesson that are taught informally,and usually unintentionally in the school and colleges. These include behaviour ,perspectives and attitudes that students pick up while they are at school.This is contrasted with the formal curriculum,such as the courses and activities students participate in,The curriculum began early in the child's education. Students learn to form opinion and ideas about their environment and their classmate.They also learn what is expected of them.These attitudes and ideas are not taught in formal way,but kids absorb them through natural observation and participation in classroom more and more and also participate in social activities.Areas of hidden curriculum in our school that mold perspectives of students deal with issues such as gender,morals,social class,politics and language.Many books and magzine which are related to expected nature at this young age support the idea of today's sepration which are encourage the youths.The importance of boy athletes used to be clear example of hidden curriculum.Student imagination and creativity are also developed by some other activities.Education is the process of facilitating learning,kowledge,skills,belief and habits.Education can take place in formal or informal setting an any experience that has a formative effect on the way one think,feels and acts may be considered educational.Education is more important for every students and children.The influence of this can lead to a negative self image or hatred for reading.These researchers discuss how the student increase the knowledge related to nature and many others areas.Their goal has been to raise the general awareness of hidden education curriculum in our school in order to make education system progressive and accessible to students of all culture ,linguistic and many other areeas which are related to ediucation system.The",4.0
2,1,1_212,"I strongly agree with the statement that tight schedule of our education system leaves no space for imagination and creativity,as the students now a days are under pressure for compiting with other rather than devloping there own innovative ideas and imagination. In todays world no one focus on what they want in there life, all of us only want how to achieve success in life and how to compete with others. students are pressurised by their parents as well by teachers for hording in the same race.no one motivates their child to do what they want,they say for the things they want from their child to do.This create a greate impact on the minds of young generation that they forget their own dreams and innovative ideas of their aspiring minds.So at last i only want to say that education system should focus of the innovative things done by students and motivating them towards achieving their goals in life.",2.0
3,1,1_117,"Our education system is nice quitely but i disagree because their should be some changes are requierd.because student facing many problems. Many changes are done by our education syetem but some more bchanges are also requierd.it bshould be changed it should be made good enough. In our education systtem main problem is create by exams timings. exams date is not prepared on time so it create a problem for the students because in that situtaions students are aneble for prepaerd ours4elf for the exams.Exams date should be prepaerd on the time so it will help the student for preparing the exams.If we talk about the school education system so there are more presure on the students specialy for the small childs they have allot presurre of studies so that thyey are unable to doing extra activities which is very neccessaryu for their growth.Studies are important but extra activities are allso important.in collages i9f universties have riloes for thier tets and tranning so they should follow the rules which is related to the exams.Checking shpuld be done in the proper observation it is very neccessary for the students their life is depend on that.Stududent should be free for taking thier decissions related to their study and no pressure should be their on the student.it will createw a problems in the student study jorney.Some other changes should be done.Because many thinks are not done in a rigth manner.sprecially exams should be done on time and time table should be given by universty to the collages on time, because many formalities are allso their which is related to exams so student can complete that work on the time so it will gud for the student and universty allso, if they organise the exams on the time so that they can create a similarity between the every colages ann universty,and some rule should be manditry f",2.0
4,1,1_229,"i am totally agree with the statement that tightly defined curriculum of our education system leaves no room for imagination and creativity .because we students are now a days just thinks about the marks .we will never thinks about to getting the knowledge .when we was study in 10th or 12th then our parents and our relatives suggested to do hard work and to follow our 10th and 12th books for higher studies and we students does as they say ,we just started to make our aim as they suggested but there is nothing to think out of syllabus .so there must be changes made on to our education system there must be some interesting to do .we people made our life only to reading books which are related to our subject.our parents suggested to us to crack the IIT exams,we studied ,if we are success to cracking those exams so we just take admission in IITs or NIITs .but after that what is to be happen? we students who follow the tightly follow our curriculum system are gone to the other countries for the jobs .so now question arises is it the right thing done by us ? we follow the curriculum of our country so why we go to the other countries for the job.if there is anything defined interesting in our education system so then we are not bounded to do study in IITs or NIITs.then only we can think imaginary or creative .or we can say that we should not bounded only to our study we have to think more than for the study.yes we can say that we are bounded to our education system we never thinks about to do different ,do creative ,do which is apart from the studies .there must be changes apply to our education system some of them are :-there must be a interesting subjects for the studentsthere must be choice for the student to do what they are thinking to dothre must be no regulations apply by the government",3.0
5,1,1_226,I am totally disappointed(Not Agree) with our education system beacause in INDIA there are many fake colleges and universities. In india enemployement is on hike beacause of fake colleges and the low education quality. In western countries the minimum age for applying in post graduation course is 40 to 43 but it's in India is 21 years only. So i want to say that the indian governmant has to increrase the quality of our education system.Indian children are more creative but the resources in our colleges are not properly giving.The colleges are opening for earning money they just want to earn money they don't want to the give the quality of students. In government colleges the condition is so bad the faculty of the government college they do not want to teach in the class . we cannot the teachers only in nows days students also do not want to stay in the class room they are just busyin the social media like whatsapp and facebook. they are distroying their career and they are not sincere about there career they are just breaking the dreams of there parents also.Creative people are not born but they are dovelop by someone or by the own.By the above statement i want to say that we just have to give the motivation and correct direction from the child age.this type of drection and motivation will help that child in young age to choice the correct career in the future and this would be done by the guardian and the teachers also.Government have to make some sort of strict law who they are not performing there duties properly.Government have to give the eucation in the private hands than the quality of the education will definetly increase.,2.0
6,1,1_99,"the education system is very rough it does not allow children to imagine and do criative thing they are schedule for them are so tough that they ultimately get tired and need some rest so the schooling system should be more relaxed and should allow children to think in thier own way they should be more relaxed and their routine should be fatigtue free . now change is very important in education module. innovation is importent for devlopment and all the devloped country makes a new innovation for devlopment and all under devloped country follow the facts and all people folloowe the trends of developed coutry instead, thew new trends should be followed and some new methods should be adopted in which children can grow and develope their mental and creative ability. the tightly defined curriculam of the education system always demoralise the creativity and innovation, for examople, the Wright brothers who thaught of the bird fyling in the air, they taught thats why they could do it , thinking should be backed up with knowledge, knowledge can be gainned through right schooling module.INNOVATION is very important for life, because without innovation person cant become successful, innovation plays a virtal role in overall development, munniya is nothing without creativity(Munniya is a student). imagination has let people go global and outside the global world which is not possible, now the education system is not giving time to think because education system follow the rules of developed country and develped country to all countries, innovation is very important to us without innovatoin man cna not do any t5hink fire came with innovation of rubbing to stone and there fore every chilpd should v given chance to thhink and do watever they feel like ..",3.0
7,1,1_240,I agreed with the tightly defined curriculum of our education system leaves no room for expresing students imagination and creativity.The exploration of the imagination of students to be promoted by givening freedom in schools to showcase their talent.education doesnot mean to study only the theory and get marks in the examination above this it is the part of our daily life by making it interesting andenjoyable.It is only started fromthe home environment and the school environment.System should think the aspests of this then they get various good aspects for make it start.If you gave them a change by leaving them freein the room.nobody knows trhat what the level of imagination of the student and how creative a student.so change shouldbe done the the education system by providing the a creativity room in their school timing.students have various knowledge regarding the sports and social media and environment and the curren activities that are perform in the socity. if they get the chance so they can be provide their knowledge and the imagination that what they thinks.every human being the the world is have their own opinion so this will be the best way that a peson show their opinoin.By this we can provide the options for the our youth.may be many of the persons are affcted by this and many of them are get better results of this changement that room for themis the place of peace where the think more and implement more it gioves better outputfor the country.This should be the best apportunity for the youth and this is to be a better habbit for the youth wecan enjoy it aswell learn form this chnage perform in the education system .i am totaly ageed with this statement provide us and have so knowledge for,2.5
8,1,1_127,"Now a days, education system is very important and its not depend only on the imagination and creativity.Its depend on our skills and hard work.Todays education system is more highly competitive.There are so many competiton to achieve or find any job. All people who are whether rich or poor are try to study and get a good or reputed job.If i think that, only imagination and creativity is the part of education system then it is not truewe will try to improve our skill and doing hard work.we can onlyimagine what Idoand how I do?Education system is more imporatnt to all students because now a days there are many competition to get a good job.In recent times,therer has been a shift towards the increased acceptance of valuing creativity for lall learners.Much of the blame for a lack of creativity,and therefore innovation,can be trace to our traditional education system.Robinson recently tweetwd an article about a new study that suggested 80% of educators surveyed in the current era which are applicable for the students.And also which can get many preferences for the students which belongs to poor family because those students which belongs to poor family have good knowledge,skills and they are hard working.With the help of manyteachers students take many benefits and improve their skills and knowledge,which they want to give their own students.Education system povide many benefits for those studens which get good education from any good institute .Education give many features which teaches us to how to live in front of any person,how to talk to anyone .Education is not only depend in the imagination and creativity of anything we will try to complete our dream in any manner.Only thinking donot fulfill our dream we will do hard work.Finally we can say that education system leaves no room for imagination and creativity...",2.0
9,1,1_176,"In the current scenario,education plays a vital role in every individuals life.Now a days technology has grown up very fast and because of that peoples ability of doing anything is decreasing.Everything is easily avalilable on internet.People are just searching from the internet and they are just using them according to their requirements.So,due to this their imaginationpower and creativity is reducing.For example:If a student wats t make an assignment then they will not study the topic in the book,but they will simply go on google and type the title and copy that.So fromthat stage the imagination power and creativity starts decreasing.As they have not put any efforts on doing so imagination power and creativity starts decreasing.Getting benefits from the technology is good but because of that killing your inner beauty that is imagination and creativity.Students should not totally depend on the technology.They should try to develop their imagining power more stronger.Now a days smart classes are available in the schools and colleges.This is the good way of teaching but because of this students dont make notes as they totally depends upon presentation in that age they are supposed to use registers but they are not using it at all.They are simply using thier mobilephones.So according tome where is the learning of a child.They are totally depend onthe technology.They are notusing their imagination and creativity.So,Iamnotsayingthat they should only rely notebooks but they should try to develop their inner skills by reading books and try to think about the topic and mould that topic according to our own convienence.As the childs ability only rely on these thingsthen it would be disaster.",4.0
